Id,Date,Year,Month,Country,Country_code,State_or_UT,State_Code,District,Dist_Code,Place,lat_new,lon_new,Source,Region,cluster_label
IND_001,"Saturday, June 10, 2000",2000,6,India,IN,Arunachal Pradesh,AR,East Siang,ESN,"Along, Boleng villages",28.07,95.43,EMD,North East,1
IND_002,"Saturday, June 10, 2000",2000,6,India,IN,Arunachal Pradesh,AR,East Siang,ESN,"Pasighat, Sika-bamin, Komlighat, Raneghat",28.07,95.43,EMD,North East,1
IND_003,"Saturday, June 10, 2000",2000,6,India,IN,Arunachal Pradesh,AR,Lohit,LHT,"Tezu, Mahadevpur villages",27.95,96.16,EMD,North East,1
IND_004,"Saturday, June 10, 2000",2000,6,India,IN,Arunachal Pradesh,AR,Upper Siang,UPS,"Yingkiang,Tuting villages",28.62,95.01,EMD,North East,1
IND_005,"Saturday, June 10, 2000",2000,6,India,IN,Assam,AS,Golaghat,GLG,,26.52,93.97,EMD,North East,1
IND_006,"Saturday, June 10, 2000",2000,6,India,IN,Assam,AS,Nagaon,NGN,,26.35,92.68,EMD,North East,1
IND_007,"Saturday, July 15, 2000",2000,7,India,IN,Arunachal Pradesh,AR,East Siang,ESN,,28.07,95.43,EMD,North East,1
IND_008,"Saturday, July 15, 2000",2000,7,India,IN,Arunachal Pradesh,AR,West Siang,WSG,,28.19,94.32,EMD,North East,1
IND_009,"Saturday, July 15, 2000",2000,7,India,IN,Arunachal Pradesh,AR,Upper Siang,UPS,,28.89,94.88,EMD,North East,1
IND_010,"Saturday, July 15, 2000",2000,7,India,IN,Arunachal Pradesh,AR,Lower Dibang Valley,LDV,,28.22,95.51,EMD,North East,1
IND_011,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Adilabad,ALD,,19.66,78.5,EMD,South,0
IND_012,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Kadapa,KDP,,14.47,78.79,EMD,South,0
IND_013,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,East Godavari,EGD,,17.37,81.08,EMD,South,0
IND_014,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Guntur,GTR,,16.31,80.44,EMD,South,0
IND_015,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Hyderabad,HDR,,17.41,78.24,EMD,South,0
IND_016,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Karimnagar,KMN,,18.44,79.13,EMD,South,0
IND_017,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Khammam,KMM,,17.25,80.15,EMD,South,0
IND_018,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Krishna,KSH,,16.42,80.11,EMD,South,0
IND_019,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Kurnool,KNL,,15.83,78.04,EMD,South,0
IND_020,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Mahabubnagar,MHB,,16.75,77.98,EMD,South,0
IND_021,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Medak,MDK,,18.05,78.25,EMD,South,0
IND_022,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Nalgonda,NAL,,17.06,79.24,EMD,South,0
IND_023,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Potti Sriramulu Nellore,PSN,,14.29,79.01,EMD,South,0
IND_024,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Nizamabad,NZM,,18.68,78.06,EMD,South,0
IND_025,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Prakasam,PKS,,15.64,78.95,EMD,South,0
IND_026,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Rangareddy,RGR,,17.13,78.05,EMD,South,0
IND_027,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,Visakhapatnam,VSK,,17.74,83.22,EMD,South,0
IND_028,"Thursday, August 31, 2000",2000,8,India,IN,Telangana,TG,Warangal,WRG,,17.95,79.59,EMD,South,0
IND_029,"Thursday, August 31, 2000",2000,8,India,IN,Andhra Pradesh,AP,West Godavari,WGD,,16.92,81.34,EMD,South,0
IND_030,"Wednesday, August 30, 2000",2000,8,India,IN,Bihar,BR,Katihar,KHR,,25.55,87.56,EMD,East,2
IND_031,"Wednesday, August 30, 2000",2000,8,India,IN,Bihar,BR,Sitamarhi,SMH,,26.58,85.46,EMD,East,2
IND_032,"Wednesday, August 30, 2000",2000,8,India,IN,Himachal Pradesh,HP,Kinnaur,KNR,,31.63,78.12,EMD,North,2
IND_033,"Wednesday, August 30, 2000",2000,8,India,IN,Uttarakhand,UT,Pithoragarh,PRG,,29.58,80.22,EMD,North,2
IND_034,"Wednesday, August 30, 2000",2000,8,India,IN,Uttarakhand,UT,Nainital,NNT,,29.39,79.45,EMD,North,2
IND_035,"Wednesday, August 30, 2000",2000,8,India,IN,Gujarat,GJ,Ahmedabad,AMD,,23.02,72.57,EMD,West,0
IND_036,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Hooghly,HGL,,22.89,88.38,EMD,East,1
IND_037,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Purba Bardhaman,PBB,,23.23,87.86,EMD,East,2
IND_038,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Nadia,NIA,,23.48,87.81,EMD,East,2
IND_039,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Murshidabad,MSD,,24.18,88.23,EMD,East,1
IND_040,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Malda,MLD,,25.01,88.14,EMD,East,1
IND_041,"Wednesday, August 30, 2000",2000,8,India,IN,West Bengal,WB,Howrah,HWR,,22.6,88.26,EMD,East,1
